COD_DEIS	Año	Mes	COD_SIGTE	CONSULTAS	CONSULTAS_NUEVA	CONSULTAS_CONTROL	PERTINENTES	NSP	NSP_NUEVA	ALTAS
114101	2018	5	07-003	1420	370	1050	0	148	0	28
114101	2018	5	07-004	1143	397	746	87	147	0	184
114101	2018	5	07-005	1248	175	1073	42	76	0	11
114101	2018	5	07-006	0	0	0	0	0	0	0
114101	2018	5	07-007	40	19	21	2	7	0	6
114101	2018	5	07-008	0	0	0	0	0	0	0
114101	2018	5	07-009	437	253	184	65	46	46	48
114101	2018	5	07-010	274	128	146	55	78	0	56
114101	2018	5	07-011	466	155	311	25	48	0	14
114101	2018	5	07-012	997	379	618	0	226	32	63
114101	2018	5	07-013	475	35	440	7	0	0	2
114101	2018	5	07-014	848	95	753	0	107	0	20
114101	2018	5	07-015	536	59	477	0	80	80	16
114101	2018	5	07-016	281	75	206	0	35	0	13
114101	2018	5	07-017	838	139	699	0	66	66	36
114101	2018	5	07-018	566	138	428	20	82	0	19
114101	2018	5	07-019	427	87	340	0	59	59	27
114101	2018	5	07-020	33	8	25	0	2	2	2
114101	2018	5	07-021	0	0	0	0	0	0	0
114101	2018	5	07-022	121	39	82	7	17	17	25
114101	2018	5	07-023	928	140	788	41	133	0	23
114101	2018	5	07-025	576	51	525	7	99	0	0
114101	2018	5	07-026	269	170	99	90	78	0	51
114101	2018	5	07-028	0	0	0	0	0	0	0
114101	2018	5	07-029	195	0	0	1	3	0	190
114101	2018	5	07-030	1737	338	1399	28	295	0	44
114101	2018	5	07-035	0	0	0	0	0	0	0
114101	2018	5	07-037	1249	185	1064	85	180	0	12
114101	2018	5	07-038	557	75	482	7	86	86	6
114101	2018	5	07-039	148	16	132	0	25	25	4
114101	2018	5	07-040	574	185	389	76	68	18	30
114101	2018	5	07-041	1182	270	912	59	108	0	56
114101	2018	5	07-042	1189	268	921	110	189	189	37
114101	2018	5	07-044	4780	1078	3702	0	340	17	48
114101	2018	5	07-045	705	68	637	2	47	0	12
114101	2018	5	07-046	1636	442	1194	0	251	101	67
114101	2018	5	07-047	99	14	85	2	16	16	22
114101	2018	5	07-048	1185	39	1146	0	303	0	22
114101	2018	5	07-049	205	50	155	0	0	0	0
114101	2018	5	07-051	1007	65	942	0	45	0	5
114101	2018	5	07-053	3055	874	2181	127	447	0	117
114101	2018	5	07-054	671	148	523	46	69	0	9
114101	2018	5	07-055	613	106	507	0	87	87	59
114101	2018	5	07-056	194	46	148	7	34	0	4
114101	2018	5	07-057	99	26	73	6	12	12	7
114101	2018	5	07-058	1212	285	927	99	224	0	129
114101	2018	5	07-059	381	39	342	0	58	58	19
114101	2018	5	07-060	413	159	254	0	1	1	124
114101	2018	5	07-061	0	0	0	0	0	0	0
114101	2018	5	07-062	1	1	0	0	0	0	1
114101	2018	5	07-063	0	0	0	0	0	0	0
114101	2018	5	07-064	399	32	367	0	120	120	9
114101	2018	5	07-065	128	47	81	0	24	24	9
114101	2018	5	07-066	623	172	451	6	129	0	33
114101	2018	5	07-067	1718	817	901	133	407	407	430
114101	2018	5	07-068	198	83	115	20	45	45	12
114101	2018	6	07-002	0	0	0	0	0	0	0
114101	2018	6	07-003	1599	426	1173	0	251	0	42
114101	2018	6	07-004	1129	303	826	49	145	0	150
114101	2018	6	07-005	1076	130	946	43	87	0	19
114101	2018	6	07-006	0	0	0	0	0	0	0
114101	2018	6	07-007	27	11	16	2	4	0	1
114101	2018	6	07-008	20	0	20	0	0	0	0
114101	2018	6	07-009	346	203	143	62	66	66	33
114101	2018	6	07-010	336	157	179	47	98	0	89
114101	2018	6	07-011	411	144	267	23	67	0	12
114101	2018	6	07-012	1358	466	892	0	429	104	177
114101	2018	6	07-013	563	30	533	5	0	0	16
114101	2018	6	07-014	813	111	702	0	88	0	16
114101	2018	6	07-015	514	46	468	0	82	82	44
